CompanyName,Website,Industry,HQ,Country,Description,CompanySize,DateVictimized,NumViews (of threat),RansomDataSize,RansomDataType,RansomwareGroup
capital fund 1,capitalfund1.com,Real Estate,"Scottsdale, Arizona",United States,"For over a decade, Capital Fund 1 has partnered with hundreds of real estate investors to provide them the capital they need. With over $4 billion in loans funded throughout the western US, we have built a reputation as a premier hard money lender. From the traditional fix and flip financing to specialized bridge loans, our loan menu is reflective of the growing real estate markets in areas we serve. Our team is experienced in offering competitive bridge, acquisition, and construction loan programs for your land, residential and commercial real estate investments. As a value add to our borrowers, the CF1 team is equipped to examine, underwrite, process, and fund properties within 24 business hours - all while keeping rates and fees competitive. 

Beyond being a capital partner, we have invested heavily in helping real estate investors grow their business. In the couple years, we've built our proprietary underwriting software from the ground up to better protect our investor dollars and borrowers' businesses. In 2021, we released those tools to the public at no cost. An example of our commitment to the real estate community.
(BK - 0917799/NMLS #396288)",51-200 employees,20/8/24 18:29,9344,*GB,"['Customer and Client Data', 'Legal Documents', 'PII', 'Healthcare Data', 'Employee and HR Data', 'Databases']",RansomHub
blower-dempsay corporation,blowerdempsay.com,Packaging & Containers,"Santa Ana, California",United States,"Founded by the Blower and Dempsay families as a corrugated box sheet plant in 1973, Pacific Western Container later formed sister company, Pak West, as our paper and packaging distribution arm.

In 1995, the packaging systems division was created, followed by the acquisition of Pacific Conveyor Systems, the custom conveyor manufacturing and engineering division. Later came the recycling division, an automated guided vehicle division, and a graphic arts department.

Our latest development is Pacific Flexible Solutions, or PacFlex, designers, importers and/or manufacturers of direct food contact films and containers. We have also expanded out of our Orange County headquarters to nine states in the Western US and beyond while keeping our family first values and entrepreneurial spirit.",51-200 employees,20/8/24 20:37,9550,679GB,['Employee and HR Data'],RansomHub
inlighten,inlighten.net<Disclose>,Broadcast Media Production and Distribution,"Clarence, New York",United States,"inLighten is the leading provider of digital media solutions including traditional and interactive digital signage, self-service kiosks, video walls, check-in solutions, on-hold and environment audio and more. inLighten’s intuitive, cloud-based management system enables creation, scheduling and distribution of dynamic content from inLighten’s hosted network.  Over 2,000 institutions in the U.S. and across the world engage their audiences with inLighten products each day.",51-200 employees,20/8/24 20:33,4596,1.8TB,['Customer and Client Data'],RansomHub
network configurations - netconfig,www.netconfig.co.za,Information Technology & Services,,,"Network Configurations is a leading Managed Services Provider (MSP) & IT Outsourcing company that focuses on organizations with a high dependency on technology within their businesses. We focus on IT Department outsourcing for Small & Medium sized businesses (Up to 250 Users). Our Head Office is based in Durban with offices in Johannesburg and IT services delivered on a national level.

If you ever wished you had your own IT department, don’t! You do not need one! As a client of Network Configurations, we will take care of your IT needs so that you can focus on what's important - Your Company!

Our unique service 

At Network Configurations we believe in people, partnerships, services and support!",51-200 employees,17/8/24 17:48,10557,20Gb,['Employee and HR Data'],RansomHub
regent caravans,www.regentcaravans.com.au,Travel Arrangements,Somerton,United Kingdom,"Regent Caravans is a retail company based out of Warehouse 2/24-32 Stanley Dr, Somerton, Australia.",51-200 employees,17/8/24 17:39,10540,30Gb,['unknown'],RansomHub
allanmcneill chartered accountants,www.allanmcneill.co.nz,Accounting,Palmerston North,New Zealand / Aotearoa,"At AllanMcNeill, we combine accounting and management disciplines with real world experience to solve business challenges. We enable our clients to achieve their goals through sound financial and strategic decision making.",11-50 employees,17/8/24 17:31,9959,30Gb,['Customer and Client Data'],RansomHub
lennartsfors ab,www.lennartsfors.com,Motor Vehicle Manufacturing,"Årjäng, Värmland",Sverige,"Lennartsfors AB develops, manufacture and distribute, niched vehicles and machines for transport in both terrain and road",11-50 employees,17/8/24 17:29,9787,10Gb,['unknown'],RansomHub
vinakom,www.vinakom.com,Telecommunications,"Schaumburg, IL",United States,"VinaKom is a leading internet service provider and telecommunications company  with over 1500 miles of independently owned fiber optic infrastructure. 

We specialize in:
• Multi-Protocol Dynamic Layered Transport
• Advanced Network Management & Security (IDS & IPS) 
• Voice (VoIP), Private Cloud & Data Center Services
• Managed Dark & Lit Optical (Fiber) Services

To put it simply:  VinaKom excels at creating custom engineered network solutions that are tailored to meet your company’s specific needs.   With bandwidth being the key to connectivity in the modern workplace.  We serve as a one stop show for all of your network connectivity and customized solution requirements. 

VinaKom’s products and services help you stay focused on your customers, rather than downtime, thanks to our 24/7 engineers*. Our solutions aim to provide you with quality voice and data to keep you connected with the modern world. You want the most advanced technology, which is why we give this to you without the hassle.  

*VinaKom Telecommunications Cisco and Microsoft certified engineers",51-200 employees,16/8/24 20:38,10524,151GB,['Customer and Client Data'],RansomHub
isnart,www.isnart.it,Government Relations,"Roma, Lazio",Italia,"ISNART - Istituto Nazionale Ricerche Turistiche - Società Consortile per Azioni ""in house"" al sistema camerale, realizza studi e pubblicazioni sul turismo, indagini, rilevazioni e progetti di fattibilità, elaborazione dati, costituzione e forniture di banche dati ed Osservatori, svolgimento di attività editoriali e di promozione e diffusione con ogni mezzo dei propri servizi, organizzazione di convegni, seminari e dibattiti in ambito turistico.

Partner strategico di amministrazioni pubbliche, la nostra mission è quella di porci come punto di riferimento qualificato per l’osservazione e lo studio dei fenomeni turistici e per accompagnare la qualificazione e lo sviluppo delle imprese dell’intera filiera turistica italiana.

Per questo, da oltre 20 anni, in ISNART, realizziamo:
- osservatori e indagini che contribuiscono a monitorare e prevedere l’andamento dell’offerta turistica del nostro Paese, anche attraverso l’utilizzo di Big Data e Open Data messi a disposizione della Pubblica Amministrazione, fornendo ai decision maker istituzionali le necessarie basi documentali per l’analisi e l’interpretazione del mercato turistico nazionale;
- percorsi di accompagnamento per l’accrescimento della cultura d’impresa delle imprese turistiche, anche attraverso specifica progettualità e percorsi di certificazione perché possano migliorare la propria offerta e la conseguente capacità competitiva.

Partecipiamo, inoltre, a programmi comunitari per il turismo sostenibile, aderendo alla rete europea Necstour in qualità di partner ufficiale e partecipando ai Forum promossi dalla DG Grow - Unità turismo della Commissione Europea.

Da oltre 25 anni, affianchiamo Unioncamere, le Camere di Commercio e loro Unioni Regionali per sviluppare progetti, in partnership con le associazioni di categoria, finalizzati a ridurre le disomogeneità che tutt’oggi caratterizzano l’offerta turistica italiana e per favorire l'integrazione super ed interregionale dei singoli prodotti turistici.",11-50 employees,15/8/24 11:39,10270,10Gb,['unknown'],RansomHub
natural curiosities,naturalcuriosities.com,Design Services,"Chatsworth, California",United States,"Natural Curiosities is an American Art House based in California and has been in business for over 20 years. 

We are a complete Art experience supplying Printed, Handmade and Fine Art through NC and our affiliate brands, Arte Maison and The Curio Gallery.

Our objective is to be a one-stop Art experience that covers all the needs of any project, whether it is a price conscious budget all the way to a one-of-a-kind Fine Art installation.

Our clients include the global interior design community, hospitality and commercial projects worldwide, private label collections for box stores and custom specific projects.

Based on our domestic production we offer customization on all our collections and provide a customer service experience using our in house Art Consultants.

For any inquires please contact: info@naturalcurisoties.com ",11-50 employees,11/8/24 17:24,12402,3GB,"['Intellectual Property', 'Databases', 'Financial Data']",RansomHub
jefferson county clerk's office,Jeffersoncountyclerk.org,Government Administration,"Louisville, Kentucky",United States,"The Jefferson County Clerk’s Office is a State Constitutional office with varied duties governed by the Kentucky Revised Statutes. Our office is responsible for public documents and information recorded, indexed and filed within Jefferson County.

The Jefferson County Clerk, Bobbie Holsclaw, serves as the Chairwoman of the Jefferson County Board of Elections and plays a key role in the conduct of elections. All petitions for candidates for elective county offices are filed with the County Clerk and drawing for ballot positions is conducted by the Clerk. She is responsible for printing ballots, canvassing the votes at Primary and General Elections; and, along with other Jefferson County Board of Election board members, certifies Election Day votes to the Secretary of State of the Commonwealth of Kentucky.",201-500 employees,11/8/24 12:30,12509,47GB,"['Databases', 'Customer and Client Data']",RansomHub
whittaker co,alliuminteriors.co.nz,Facilities Services,"New Castle, PA",United States,"Consistently Cleaner Carpet. Smart Service.™ Whittaker is committed to ensuring carpet adds beauty to each facility as its designer, manufacturer and installer intended. Our low-moisture carpet cleaning machines – including our exclusive three-TRIO – makes carpet care as simple as possible.",11-50 employees,9/8/24 15:16,12295,31GB,"['Intellectual Property', 'Databases', 'Financial Data']",RansomHub
lmgroup,lmgroup.com<Disclose>,Automation Machinery Manufacturing,"Toledo, Castilla-La Mancha",Spain,"LMGROUP, was born as a company dedicated to the service and development of equipment for industrial automation, providing technical and innovative solutions and growth to its activity and modernization. We stand out for the high quality and recognition of our products, for the constancy in innovative research and for the efficient after-sales service. Our services range from the design and planning of the solution to after-sales service and re-engineering, which we develop together with the customer.",51-200 employees,14/7/24 5:42,12860,2+TB,"['Customer and Client Data', 'Legal Documents', 'Employee and HR Data']",RansomHub
